S No.,Tag,URL,Names,title,Year
0,Joe List: I Hate Myself (2020) – Transcript,https://scrapsfromtheloft.com/2021/04/18/joe-list-i-hate-myself-transcript/,Joe List,Joe List: I Hate Myself ,2020.0
1,Nate Bargatze: The Greatest Average American (2021) – Transcript,https://scrapsfromtheloft.com/2021/03/27/nate-bargatze-greatest-average-american-transcript/,Nate Bargatze,Nate Bargatze: The Greatest Average American ,2021.0
2,Brian Regan: On The Rocks (2021) – Transcript,https://scrapsfromtheloft.com/2021/02/27/brian-regan-on-the-rocks-transcript/,Brian Regan,Brian Regan: On The Rocks ,2021.0
3,George Carlin: Politically Correct Language,https://scrapsfromtheloft.com/2021/02/18/george-carlin-politically-correct-language/,George Carlin,George Carlin: Politically Correct Language,
4,Doug Stanhope: Beer Hall Putsch (2013) – Transcript,https://scrapsfromtheloft.com/2021/02/18/doug-stanhope-beer-hall-putsch-transcript/,Doug Stanhope,Doug Stanhope: Beer Hall Putsch ,2013.0
5,Chris Rock Total Blackout: The Tamborine Extended Cut – Transcript,https://scrapsfromtheloft.com/2021/01/15/chris-rock-total-blackout-the-tamborine-extended-cut-transcript/,Chris Rock Total Blackout,Chris Rock Total Blackout: The Tamborine Extended Cut ,
6,Sarah Cooper: Everything’s Fine (2020) – Transcript,https://scrapsfromtheloft.com/2020/12/22/sarah-cooper-everythings-fine-transcript/,Sarah Cooper,Sarah Cooper: Everything’s Fine ,2020.0
7,"Bo Burnham: Words, Words, Words (2010) – Transcript",https://scrapsfromtheloft.com/2020/12/20/bo-burnham-words-words-words-transcript/,Bo Burnham,"Bo Burnham: Words, Words, Words ",2010.0
8,Vir Das: Outside in – The Lockdown Special (2020) – Transcript,https://scrapsfromtheloft.com/2020/12/17/vir-das-outside-in-the-lockdown-special-transcript/,Vir Das,Vir Das: Outside in ,2020.0
9,Larry the Cable Guy – Remain Seated (2020) – Transcript,https://scrapsfromtheloft.com/2020/11/27/larry-the-cable-guy-remain-seated-transcript/,Larry the Cable Guy ,Larry the Cable Guy ,2020.0
10,Craig Ferguson: Just Being Honest (2015) – Transcript,https://scrapsfromtheloft.com/2020/11/24/craig-ferguson-just-being-honest-transcript/,Craig Ferguson,Craig Ferguson: Just Being Honest ,2015.0
11,Kevin Hart: Zero F**ks Given (2020) – Transcript,https://scrapsfromtheloft.com/2020/11/18/kevin-hart-zero-fks-given-2020-transcript/,Kevin Hart,Kevin Hart: Zero F**ks Given ,2020.0
12,Sam Morril: I Got This (2020) – Transcript,https://scrapsfromtheloft.com/2020/11/12/sam-morril-i-got-this-2020-transcript/,Sam Morril,Sam Morril: I Got This ,2020.0
13,Dave Chappelle: SNL Monologue (2020) – Transcript,https://scrapsfromtheloft.com/2020/11/08/dave-chappelle-snl-monologue-2020-transcript/,Dave Chappelle,Dave Chappelle: SNL Monologue ,2020.0
14,Chris Rock: SNL Monologue (2020) – Transcript,https://scrapsfromtheloft.com/2020/11/06/chris-rock-snl-monologue-2020-transcript/,Chris Rock,Chris Rock: SNL Monologue ,2020.0
